IdPedido,FechaEstimada,MontoCompra,DNICliente,NombreCliente,mailCliente,idProducto,DescripcionProducto
000001,2018-09-15,180.00,18345672,Arturo Sampala,arty@yahoo.com,18976AT65,Mouse pad gamer
000002,2018-09-15,6.790.00,23584902,Fernando Gargano,fergargano@gmail.com,MZ-76E500B/EU,Samsung SSD 860 EVO
000003,2018-09-15,2.986.00,29556214,Mariana Torres,marytorres@yahoo.com,CH56700GG643,Perfume Good Girl Carolina Herrera x 500ml
000004,2018-09-15,979.00,20855367,Elver Garcia,elgar@gmail.com,65789PR67INV43,Perfume Paco Rabanne Invictus x 100ml
000005,2018-09-15,5.449.00,24008790,Anibal Freitas,afreitas@yahoo.com,ARG4567U654,Pista De Carreras Sprint Carrera Go!! Licencia Original 
000006,2018-09-15,10.999.00,27445914,Pedro Estrato,pedrito@pepemail.com,Gtx1050Ti743,Placa Video Gigabyte Nvidia Gtx 1050 Ti 4gb Windforce 1050ti
000007,2018-09-15,38.499.00,21945551,Javier Artaza,artythetru@yahoo.com,N7563D5600RE18,Cámara Nikon D5600 Réflex 18-55mm Profesional
000008,2018-09-15,28.000.00,21989945,Gabriel Canucci,elcanoc@yahoo.com,DO769JJ67G45,Tren Electrico Antiguo Aleman Oriental Distler
000009,2018-09-15,689.00,26896453,Daniela Gorna,danygorna@gmail.com,872DT65009,Pen Drive Kingston 32gb Datatraveler Usb 3.1
000010,2018-09-15,121.017.00,25895564,Mariano Salander,marsalander@gmail.com,SH89000056RE,Trasmision Shimano Dura Ace 9150 Di2 Tt Triatlon 
000011,2018-09-15,13.599.90,27699345,Nicolas Cabrero,nicocabre@yahoo.com,AVH250CD499,Stereo Pioneer Pantalla Bluetooth Avh205 Cd Dvd Led 
000012,2018-09-15,6.499.00,23409187,Andrea Frigerio,andrefrigerio@gmail.com,764CH340098S,Perfume Importado De Mujer Chanel Nº5 Edp 100 Ml
000013,2018-09-15,22.999.00,19452187,Adrian Cunia,titocunia@yahoo.com,PL4987688HD1TB,PlayStation 4
000014,2018-09-15,4.299.00,27456009,Mariana Larrosa,marilarrosa@gmail.com,M65788J34,Maletín Set De Maquillaje Profesion Malibu Makeup 78 Piezas
000015,2018-09-15,56.702.25,25449666,Edi Hell,edi_hell@yahoo.com,AS756433DV76,Tarjeta Video Asus Gforce 8g Ddr5 Strix 1080
000016,2018-09-15,6.823.95,24789001,Paco Delucia,paquito@yahoo.com,C89635GF7466,Gracia M6 Eq Guitarra Clasica Electrocriolla Corte + Funda
000017,2018-09-15,16.999.00,20643990,Antonio Lajjess,antonio_lajjess@yahoo.com,BS9846673425,Auricular Bose® Soundlink® Around Ear 2 Bluetooth Negro
000018,2018-09-15,8.149.00,22754090,Pamela Journey,pamjourney@gmail.com,TS9466RD345,Tascam Dr05 - Grabador Digital Estereo
000019,2018-09-15,260.00,25785543,Carlos Elnerd,carlitos_elnerd@yahoo.com,6439889FR985,Battlefield 1 Ultimate Edition | Origin | Pc
000020,2018-09-15,4.950.00,20753399,Arturo Zordeli,azordeli@yahoo.com,MC64980J756,Simon Rattle - American Music (box Set 7 Cds)
000021,2018-09-15,2.235.00,22498766,Edgardo Notredam,edgardito1968@yahoo.com,LB54778900,Vino Luigi Bosca Cabernet Sauvignon Caja X6 X750cc
000022,2018-09-15,470.00,25990654,Martha Orphan,martita_1989@gmail.com,65UY77876,Calza Modeladora Chupin Faja 22 Cm 100% Lycra Mujer 
000023,2018-09-15,1.489.90,19885432,Esteban Guerrero,esteban_guerrero@hotmail.com,83929B60154,Blu-ray + Dvd 12 Strong / Tropa De Heroes
000024,2018-09-15,459.00,23600986,Elva Garcia,elvagarcia@yahoo.com,EB6458937624,Libro Cumbres Borrascosas De Emily Bronte
000025,2018-09-15,27.219.00,24987098,Stefano Sandrelli,ssandrelli@hotmail.com,6478BZ9843873,CD : Luciano Pavarotti - Complete Operas (Boxed Set. 101 Disc)
000026,2018-09-15,9.989.90,22838383,Jimena Galarza,jgalarza@gmail.com,647YH874984,Blu-ray Friends / La Serie Completa / Incluye 10 Temporadas
000027,2018-09-15,4.289.00,25938789,Juan Carlos Morffetta,jcmorffetta@hotmail.com,FP8466732LL9476,Fabrica De Pastas Pastalinda
000028,2018-09-15,8.437.00,20449876,Marcela Cuina,marce1967@yahoo.com,746HH644,Ultrasonido Pot 60w 1 Mhz Kinesio Fisioterapia Cert Anmat
000029,2018-09-15,20.130.27,21065839,Pablo Moscolonni,pablo1969@gmail.com,RW647743U756,Raqueta Wilson Pro Personal 97l Cv Tenis
000030,2018-09-15,1.910.61,21888643,Roberto Giorno,robertogiorno@yahoo.com,T647845896,Kit Carga Aire Acondicionado Automotor R134 Completo
000031,2018-09-15,3.800.00,22954857,Eva Pedrozzo,eva_pedrozzo@gmail.com,CH64684Y326S,Perfume Carolina Herrera Ch Fragancia Mujer 100 Original Imp
000032,2018-09-15,849.00,23009866,Laura Conssolli,lauconssolli@hotmail.com,G7467H64367,Perfume Play Rosa X 100ml
000033,2018-09-15,4.487.62,21486789,Daniel Fitillan,dani_fitillan@hotmail.com,647884GTR,The Police Certifiable (live In Buenos Aires) 3 Vinilos
000034,2018-09-15,2.198.00,24655457,Esteban Issola,estebitanissola@hotmail.com,64556TTr546,Attaché - Portafolio - Maletín C/combinacion Lemi Equipajes
000035,2018-09-15,1.075.49,23600981,Javier Chilenian,javichilenian@hotmail.com,YT64785,Pisco Mistral Nobel Pisco Chileno C/est 
000036,2018-09-15,3.899.00,22954680,Liliana Torricelli,lilitorricelli@gmail.com,TRY737356647,Fabrica De Pastas Peabody Pe-mp001 Rojo 6 Acc Lhconfort
